activity_id,access_seq,week,eclo,access_night
A001,1,28,0,1
A001,2,29,0,1
A002,1,28,0,1
A002,2,29,0,1
A003,1,28,0,1
A003,2,29,0,1
A004,1,14,0,1
A004,2,17,0,1
A004,3,18,0,1
A005,1,14,0,1
A005,2,17,0,1
A005,3,18,0,1
A006,1,20,0,1
A006,2,21,0,1
A006,3,22,0,1
A006,4,23,0,1
A007,1,20,0,1
A007,2,21,0,1
A007,3,22,0,1
A007,4,23,0,1
A008,1,20,0,1
A008,2,21,0,1
A008,3,22,0,1
A008,4,23,0,1
A009,1,18,0,1
A009,2,19,0,1
A010,1,18,0,2
A010,2,19,0,1
A011,1,10,0,1
A012,1,10,0,1
A013,1,10,0,1
A014,1,7,0,1
A014,2,8,0,1
A014,3,9,0,1
A015,1,7,0,1
A015,2,8,0,1
A015,3,9,0,1
A016,1,7,0,2
A016,2,8,0,2
A016,3,9,0,2
A017,1,24,0,1
A018,1,7,0,1
A018,2,8,0,1
A018,3,9,0,1
A018,4,11,0,1
A018,5,13,0,1
A019,1,7,0,1
A019,2,8,0,1
A019,3,9,0,1
A019,4,11,0,1
A019,5,13,0,1
A020,1,1,0,1
A020,2,2,0,1
A020,3,3,0,1
A020,4,4,0,1
A020,5,5,0,1
A020,6,6,0,1
A021,1,1,0,1
A021,2,2,0,1
A021,3,3,0,1
A021,4,4,0,1
A021,5,5,0,1
A021,6,6,0,1
A022,1,20,0,1
A022,2,22,0,1
A023,1,10,0,1
A024,1,10,0,1
A025,1,12,0,1
A025,2,13,0,2
A025,3,14,0,1
A025,4,17,0,1
A025,5,18,0,1
A026,1,6,0,1
A026,2,7,0,1
A026,3,8,0,1
A026,4,9,0,1
A027,1,6,0,1
A027,2,7,0,1
A027,3,8,0,1
A027,4,9,0,1
A028,1,6,0,1
A028,2,7,0,2
A028,3,8,0,2
A028,4,9,0,2
A029,1,6,0,1
A029,2,7,0,1
A030,1,14,0,1
A030,2,16,1,1
A030,3,17,1,1
A030,4,18,0,1
A031,1,3,0,1
A031,2,4,0,1
A031,3,5,0,1
A031,4,6,0,1
A032,1,14,0,1
A033,1,15,0,1
A033,2,16,0,1
A033,3,17,1,1
A033,4,18,0,1
A033,5,19,0,1
A033,6,20,0,1
A034,1,15,0,1
A034,2,16,1,1
A034,3,17,1,2
A034,4,18,0,2
A034,5,19,0,1
A034,6,20,0,1
A035,1,15,0,1
A035,2,16,1,1
A035,3,17,1,1
A035,4,18,0,1
A035,5,19,0,1
A035,6,20,0,1
A036,1,4,0,1
A037,1,4,0,1
A038,1,23,0,1
A038,2,25,0,1
A038,3,27,0,1
A038,4,28,0,1
A038,5,29,0,1
A039,1,22,0,1
A040,1,13,0,1
A040,2,14,0,1
A040,3,15,0,1
A040,4,17,1,1
A040,5,19,0,1
A041,1,13,0,1
A041,2,14,0,1
A041,3,15,0,1
A041,4,17,0,1
A041,5,19,0,1
A042,1,5,0,1
A042,2,6,0,1
A042,3,8,0,1
A042,4,9,0,1
A042,5,11,0,1
A042,6,12,0,1
A043,1,5,0,1
A043,2,6,0,1
A043,3,8,0,1
A043,4,9,0,1
A043,5,11,0,1
A043,6,12,0,1
A044,1,5,0,1
A044,2,6,0,2
A044,3,8,0,2
A044,4,9,0,2
A044,5,11,0,1
A044,6,12,0,1
A045,1,25,0,1
A045,2,26,0,1
A045,3,27,0,1
A045,4,28,0,1
A045,5,29,0,1
A045,6,30,0,1
A046,1,25,0,1
A046,2,26,0,1
A046,3,27,0,1
A046,4,28,0,1
A046,5,29,0,1
A046,6,30,0,1
A047,1,19,0,1
A047,2,20,0,1
A047,3,21,0,1
A047,4,22,0,1
A048,1,17,1,1
A048,2,18,0,1
A048,3,19,0,1
A049,1,17,0,1
A049,2,18,0,1
A049,3,19,0,1
A050,1,21,0,2
A050,2,22,0,2
A050,3,23,0,2
A050,4,25,0,1
A051,1,21,0,1
A051,2,22,0,1
A051,3,23,0,1
A051,4,25,0,1
A052,1,6,0,2
A052,2,7,0,1
A052,3,9,0,1
A052,4,10,0,1
A052,5,11,0,1
A052,6,12,0,1
A053,1,24,0,2
A053,2,26,0,1
A053,3,27,0,1
A053,4,28,0,1
A054,1,24,0,1
A054,2,26,0,2
A054,3,27,0,2
A054,4,28,0,2
