activity_id,week,location_id,co_share_group
A001,28,PLAT:BET:H01:WB,g001
A001,28,PLAT:BET:H02:WB,g001
A001,28,PLAT:BET:S14:WB,g001
A001,28,SEC:BET:H01_H02:WB,g001
A001,28,SEC:BET:S14_H01:WB,g001
A002,28,PLAT:BET:H01:WB,g001
A002,28,PLAT:BET:H02:WB,g001
A002,28,PLAT:BET:S15:WB,g001
A002,28,SEC:BET:H01_H02:WB,g001
A002,28,SEC:BET:H02_S15:WB,g001
A003,28,PLAT:BET:H01:WB,g001
A003,28,PLAT:BET:H02:WB,g001
A003,28,PLAT:BET:S14:WB,g001
A003,28,SEC:BET:H01_H02:WB,g001
A003,28,SEC:BET:S14_H01:WB,g001
A001,29,PLAT:BET:H01:WB,g001
A001,29,PLAT:BET:H02:WB,g001
A001,29,PLAT:BET:S14:WB,g001
A001,29,SEC:BET:H01_H02:WB,g001
A001,29,SEC:BET:S14_H01:WB,g001
A002,29,PLAT:BET:H01:WB,g001
A002,29,PLAT:BET:H02:WB,g001
A002,29,PLAT:BET:S15:WB,g001
A002,29,SEC:BET:H01_H02:WB,g001
A002,29,SEC:BET:H02_S15:WB,g001
A003,29,PLAT:BET:H01:WB,g001
A003,29,PLAT:BET:H02:WB,g001
A003,29,PLAT:BET:S14:WB,g001
A003,29,SEC:BET:H01_H02:WB,g001
A003,29,SEC:BET:S14_H01:WB,g001
A004,14,PLAT:ALP:H01:EB,g002
A004,14,PLAT:ALP:H02:EB,g002
A004,14,SEC:ALP:H01_H02:EB,g002
A005,14,PLAT:ALP:H01:EB,g002
A005,14,PLAT:ALP:H02:EB,g002
A005,14,SEC:ALP:H01_H02:EB,g002
A004,17,PLAT:ALP:H01:EB,g002
A004,17,PLAT:ALP:H02:EB,g002
A004,17,SEC:ALP:H01_H02:EB,g002
A005,17,PLAT:ALP:H01:EB,g002
A005,17,PLAT:ALP:H02:EB,g002
A005,17,SEC:ALP:H01_H02:EB,g002
A004,18,PLAT:ALP:H01:EB,g002
A004,18,PLAT:ALP:H02:EB,g002
A004,18,SEC:ALP:H01_H02:EB,g002
A005,18,PLAT:ALP:H01:EB,g002
A005,18,PLAT:ALP:H02:EB,g002
A005,18,SEC:ALP:H01_H02:EB,g002
A006,20,PLAT:ALP:H01:EB,g003
A006,20,PLAT:ALP:H02:EB,g003
A006,20,PLAT:ALP:S05:EB,g003
A006,20,SEC:ALP:H01_H02:EB,g003
A006,20,SEC:ALP:H02_S05:EB,g003
A007,20,PLAT:ALP:H01:EB,g003
A007,20,PLAT:ALP:H02:EB,g003
A007,20,PLAT:ALP:S05:EB,g003
A007,20,SEC:ALP:H01_H02:EB,g003
A007,20,SEC:ALP:H02_S05:EB,g003
A008,20,PLAT:ALP:H01:EB,g003
A008,20,PLAT:ALP:H02:EB,g003
A008,20,SEC:ALP:H01_H02:EB,g003
A006,21,PLAT:ALP:H01:EB,g003
A006,21,PLAT:ALP:H02:EB,g003
A006,21,PLAT:ALP:S05:EB,g003
A006,21,SEC:ALP:H01_H02:EB,g003
A006,21,SEC:ALP:H02_S05:EB,g003
A007,21,PLAT:ALP:H01:EB,g003
A007,21,PLAT:ALP:H02:EB,g003
A007,21,PLAT:ALP:S05:EB,g003
A007,21,SEC:ALP:H01_H02:EB,g003
A007,21,SEC:ALP:H02_S05:EB,g003
A008,21,PLAT:ALP:H01:EB,g003
A008,21,PLAT:ALP:H02:EB,g003
A008,21,SEC:ALP:H01_H02:EB,g003
A006,22,PLAT:ALP:H01:EB,g003
A006,22,PLAT:ALP:H02:EB,g003
A006,22,PLAT:ALP:S05:EB,g003
A006,22,SEC:ALP:H01_H02:EB,g003
A006,22,SEC:ALP:H02_S05:EB,g003
A007,22,PLAT:ALP:H01:EB,g003
A007,22,PLAT:ALP:H02:EB,g003
A007,22,PLAT:ALP:S05:EB,g003
A007,22,SEC:ALP:H01_H02:EB,g003
A007,22,SEC:ALP:H02_S05:EB,g003
A008,22,PLAT:ALP:H01:EB,g003
A008,22,PLAT:ALP:H02:EB,g003
A008,22,SEC:ALP:H01_H02:EB,g003
A006,23,PLAT:ALP:H01:EB,g003
A006,23,PLAT:ALP:H02:EB,g003
A006,23,PLAT:ALP:S05:EB,g003
A006,23,SEC:ALP:H01_H02:EB,g003
A006,23,SEC:ALP:H02_S05:EB,g003
A007,23,PLAT:ALP:H01:EB,g003
A007,23,PLAT:ALP:H02:EB,g003
A007,23,PLAT:ALP:S05:EB,g003
A007,23,SEC:ALP:H01_H02:EB,g003
A007,23,SEC:ALP:H02_S05:EB,g003
A008,23,PLAT:ALP:H01:EB,g003
A008,23,PLAT:ALP:H02:EB,g003
A008,23,SEC:ALP:H01_H02:EB,g003
A009,18,PLAT:ALP:H01:EB,g004
A009,18,PLAT:ALP:H02:EB,g004
A009,18,PLAT:ALP:S04:EB,g004
A009,18,SEC:ALP:H01_H02:EB,g004
A009,18,SEC:ALP:S04_H01:EB,g004
A010,18,PLAT:ALP:H01:EB,g004
A010,18,PLAT:ALP:H02:EB,g004
A010,18,SEC:ALP:H01_H02:EB,g004
A009,19,PLAT:ALP:H01:EB,g004
A009,19,PLAT:ALP:H02:EB,g004
A009,19,PLAT:ALP:S04:EB,g004
A009,19,SEC:ALP:H01_H02:EB,g004
A009,19,SEC:ALP:S04_H01:EB,g004
A010,19,PLAT:ALP:H01:EB,g004
A010,19,PLAT:ALP:H02:EB,g004
A010,19,SEC:ALP:H01_H02:EB,g004
A011,10,PLAT:BET:H01:WB,g005
A011,10,PLAT:BET:H02:WB,g005
A011,10,PLAT:BET:S14:WB,g005
A011,10,SEC:BET:H01_H02:WB,g005
A011,10,SEC:BET:S14_H01:WB,g005
A012,10,PLAT:BET:H01:WB,g005
A012,10,PLAT:BET:H02:WB,g005
A012,10,PLAT:BET:S14:WB,g005
A012,10,SEC:BET:H01_H02:WB,g005
A012,10,SEC:BET:S14_H01:WB,g005
A013,10,PLAT:BET:H01:WB,g005
A013,10,PLAT:BET:H02:WB,g005
A013,10,PLAT:BET:S14:WB,g005
A013,10,SEC:BET:H01_H02:WB,g005
A013,10,SEC:BET:S14_H01:WB,g005
A014,7,PLAT:ALP:H01:EB,g006
A014,7,PLAT:ALP:H02:EB,g006
A014,7,PLAT:ALP:S04:EB,g006
A014,7,PLAT:ALP:S05:EB,g006
A014,7,SEC:ALP:H01_H02:EB,g006
A014,7,SEC:ALP:H02_S05:EB,g006
A014,7,SEC:ALP:S04_H01:EB,g006
A015,7,PLAT:ALP:H01:EB,g006
A015,7,PLAT:ALP:H02:EB,g006
A015,7,PLAT:ALP:S04:EB,g006
A015,7,PLAT:ALP:S05:EB,g006
A015,7,SEC:ALP:H01_H02:EB,g006
A015,7,SEC:ALP:H02_S05:EB,g006
A015,7,SEC:ALP:S04_H01:EB,g006
A016,7,PLAT:ALP:H01:EB,g006
A016,7,PLAT:ALP:H02:EB,g006
A016,7,SEC:ALP:H01_H02:EB,g006
A014,8,PLAT:ALP:H01:EB,g006
A014,8,PLAT:ALP:H02:EB,g006
A014,8,PLAT:ALP:S04:EB,g006
A014,8,PLAT:ALP:S05:EB,g006
A014,8,SEC:ALP:H01_H02:EB,g006
A014,8,SEC:ALP:H02_S05:EB,g006
A014,8,SEC:ALP:S04_H01:EB,g006
A015,8,PLAT:ALP:H01:EB,g006
A015,8,PLAT:ALP:H02:EB,g006
A015,8,PLAT:ALP:S04:EB,g006
A015,8,PLAT:ALP:S05:EB,g006
A015,8,SEC:ALP:H01_H02:EB,g006
A015,8,SEC:ALP:H02_S05:EB,g006
A015,8,SEC:ALP:S04_H01:EB,g006
A016,8,PLAT:ALP:H01:EB,g006
A016,8,PLAT:ALP:H02:EB,g006
A016,8,SEC:ALP:H01_H02:EB,g006
A014,9,PLAT:ALP:H01:EB,g006
A014,9,PLAT:ALP:H02:EB,g006
A014,9,PLAT:ALP:S04:EB,g006
A014,9,PLAT:ALP:S05:EB,g006
A014,9,SEC:ALP:H01_H02:EB,g006
A014,9,SEC:ALP:H02_S05:EB,g006
A014,9,SEC:ALP:S04_H01:EB,g006
A015,9,PLAT:ALP:H01:EB,g006
A015,9,PLAT:ALP:H02:EB,g006
A015,9,PLAT:ALP:S04:EB,g006
A015,9,PLAT:ALP:S05:EB,g006
A015,9,SEC:ALP:H01_H02:EB,g006
A015,9,SEC:ALP:H02_S05:EB,g006
A015,9,SEC:ALP:S04_H01:EB,g006
A016,9,PLAT:ALP:H01:EB,g006
A016,9,PLAT:ALP:H02:EB,g006
A016,9,SEC:ALP:H01_H02:EB,g006
A017,24,PLAT:BET:H01:WB,g007
A017,24,PLAT:BET:H02:WB,g007
A017,24,PLAT:BET:S14:WB,g007
A017,24,PLAT:BET:S15:WB,g007
A017,24,SEC:BET:H01_H02:WB,g007
A017,24,SEC:BET:H02_S15:WB,g007
A017,24,SEC:BET:S14_H01:WB,g007
A018,7,PLAT:ALP:H01:WB,g008
A018,7,PLAT:ALP:H02:WB,g008
A018,7,PLAT:ALP:S04:WB,g008
A018,7,PLAT:ALP:S05:WB,g008
A018,7,SEC:ALP:H01_H02:WB,g008
A018,7,SEC:ALP:H02_S05:WB,g008
A018,7,SEC:ALP:S04_H01:WB,g008
A019,7,PLAT:ALP:H01:WB,g008
A019,7,PLAT:ALP:H02:WB,g008
A019,7,PLAT:ALP:S05:WB,g008
A019,7,SEC:ALP:H01_H02:WB,g008
A019,7,SEC:ALP:H02_S05:WB,g008
A018,8,PLAT:ALP:H01:WB,g008
A018,8,PLAT:ALP:H02:WB,g008
A018,8,PLAT:ALP:S04:WB,g008
A018,8,PLAT:ALP:S05:WB,g008
A018,8,SEC:ALP:H01_H02:WB,g008
A018,8,SEC:ALP:H02_S05:WB,g008
A018,8,SEC:ALP:S04_H01:WB,g008
A019,8,PLAT:ALP:H01:WB,g008
A019,8,PLAT:ALP:H02:WB,g008
A019,8,PLAT:ALP:S05:WB,g008
A019,8,SEC:ALP:H01_H02:WB,g008
A019,8,SEC:ALP:H02_S05:WB,g008
A018,9,PLAT:ALP:H01:WB,g008
A018,9,PLAT:ALP:H02:WB,g008
A018,9,PLAT:ALP:S04:WB,g008
A018,9,PLAT:ALP:S05:WB,g008
A018,9,SEC:ALP:H01_H02:WB,g008
A018,9,SEC:ALP:H02_S05:WB,g008
A018,9,SEC:ALP:S04_H01:WB,g008
A019,9,PLAT:ALP:H01:WB,g008
A019,9,PLAT:ALP:H02:WB,g008
A019,9,PLAT:ALP:S05:WB,g008
A019,9,SEC:ALP:H01_H02:WB,g008
A019,9,SEC:ALP:H02_S05:WB,g008
A018,11,PLAT:ALP:H01:WB,g008
A018,11,PLAT:ALP:H02:WB,g008
A018,11,PLAT:ALP:S04:WB,g008
A018,11,PLAT:ALP:S05:WB,g008
A018,11,SEC:ALP:H01_H02:WB,g008
A018,11,SEC:ALP:H02_S05:WB,g008
A018,11,SEC:ALP:S04_H01:WB,g008
A019,11,PLAT:ALP:H01:WB,g008
A019,11,PLAT:ALP:H02:WB,g008
A019,11,PLAT:ALP:S05:WB,g008
A019,11,SEC:ALP:H01_H02:WB,g008
A019,11,SEC:ALP:H02_S05:WB,g008
A018,13,PLAT:ALP:H01:WB,g008
A018,13,PLAT:ALP:H02:WB,g008
A018,13,PLAT:ALP:S04:WB,g008
A018,13,PLAT:ALP:S05:WB,g008
A018,13,SEC:ALP:H01_H02:WB,g008
A018,13,SEC:ALP:H02_S05:WB,g008
A018,13,SEC:ALP:S04_H01:WB,g008
A019,13,PLAT:ALP:H01:WB,g008
A019,13,PLAT:ALP:H02:WB,g008
A019,13,PLAT:ALP:S05:WB,g008
