activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
A001,C001,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:S04_H01:EB,4,2027-07-05,,3
A002,C002,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:S03_S04:WB,2,2027-06-21,,1
A003,C003,Construction,SEC:ALP:S01_S02:WB,SEC:ALP:S02_S03:WB,2,2027-06-21,,2
A004,C004,Construction,SEC:ALP:S01_S02:WB,SEC:ALP:S03_S04:WB,1,2027-10-11,A001,3
A005,C005,Renewal,SEC:BET:S16_S17:WB,SEC:BET:S17_S18:WB,3,2027-07-26,A003,3
A006,C006,Renewal,SEC:BET:S16_S17:WB,SEC:BET:S17_S18:WB,3,2027-07-12,A003,3
A007,C007,Construction,SEC:BET:S11_S12:EB,SEC:BET:S12_S13:EB,2,2027-10-18,A004,2
A008,C008,Construction,SEC:BET:S11_S12:EB,SEC:BET:S11_S12:EB,2,2027-10-18,,3
A009,C009,Construction,SEC:BET:S11_S12:EB,SEC:BET:S11_S12:EB,2,2027-10-18,A004,1
A010,C010,Construction,SEC:BET:H02_S15:EB,SEC:BET:S16_S17:EB,3,2027-10-18,A004,3
A011,C006,Renewal,SEC:ALP:S02_S03:EB,SEC:ALP:S02_S03:EB,4,2027-09-13,A006,2
A012,C011,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,3,2027-10-04,A006,3
A013,C012,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,6,2027-06-28,,1
A014,C011,Renewal,SEC:ALP:H02_S05:EB,SEC:ALP:H02_S05:EB,2,2027-12-20,A010,3
A015,C002,Renewal,SEC:BET:H02_S15:EB,SEC:BET:S15_S16:EB,4,2027-10-18,A006,3
A016,C012,Renewal,SEC:BET:H02_S15:EB,SEC:BET:S15_S16:EB,4,2027-10-18,A006,1
A017,C012,Renewal,SEC:BET:S15_S16:EB,SEC:BET:S15_S16:EB,4,2027-10-11,A006,3
A018,C013,Construction,SEC:ALP:S05_S06:EB,SEC:ALP:S07_S08:EB,7,2027-09-06,A006,2
A019,C014,Construction,SEC:ALP:S06_S07:EB,SEC:ALP:S06_S07:EB,6,2027-09-13,A006,3
A020,C015,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,7,2027-10-04,A006,1
A021,C006,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,7,2027-09-20,A006,3
A022,C011,Renewal,SEC:BET:H02_S15:WB,SEC:BET:H02_S15:WB,1,2027-11-29,,2
A023,C002,Renewal,SEC:ALP:S07_S08:WB,SEC:ALP:S07_S08:WB,1,2027-07-26,,2
A024,C007,Construction,SEC:BET:H02_S15:WB,SEC:BET:S15_S16:WB,5,2027-07-26,A003,3
A025,C013,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,5,2027-07-26,A003,3
A026,C012,Renewal,SEC:BET:S16_S17:EB,SEC:BET:S16_S17:EB,5,2027-08-09,,1
A027,C015,Renewal,SEC:BET:S16_S17:EB,SEC:BET:S16_S17:EB,5,2027-08-23,A006,1
A028,C014,Construction,SEC:BET:S16_S17:EB,SEC:BET:S16_S17:EB,5,2027-08-02,A006,1
A029,C002,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,1,2027-07-12,A003,3
A030,C014,Construction,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,1,2027-07-26,,3
A031,C006,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,1,2027-07-19,A003,1
A032,C012,Renewal,SEC:BET:S11_S12:EB,SEC:BET:S12_S13:EB,4,2027-11-22,A021,3
A033,C002,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,6,2027-09-06,A025,1
A034,C012,Renewal,SEC:BET:S16_S17:WB,SEC:BET:S17_S18:WB,3,2027-06-21,,2
A035,C006,Renewal,SEC:BET:S16_S17:WB,SEC:BET:S17_S18:WB,3,2027-06-21,,1
A036,C008,Construction,SEC:BET:S16_S17:WB,SEC:BET:S17_S18:WB,3,2027-06-21,,2
A037,C002,Renewal,SEC:BET:S15_S16:WB,SEC:BET:S15_S16:WB,4,2027-08-09,A006,3
A038,C015,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,1,2027-06-21,,1
A039,C012,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,1,2027-06-21,,1
A040,C009,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,1,2027-06-21,,3
A041,C011,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:S03_S04:EB,3,2027-11-29,A022,2
A042,C010,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,3,2027-10-18,A028,2
A043,C015,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,3,2027-10-04,A028,1
A044,C002,Renewal,SEC:ALP:S06_S07:EB,SEC:ALP:S07_S08:EB,3,2028-02-07,A014,2
A045,C012,Renewal,SEC:ALP:S07_S08:EB,SEC:ALP:S07_S08:EB,3,2028-02-07,,1
A046,C015,Renewal,SEC:ALP:S06_S07:EB,SEC:ALP:S07_S08:EB,3,2028-01-24,A014,3
A047,C012,Renewal,SEC:ALP:S02_S03:EB,SEC:ALP:S03_S04:EB,2,2027-06-21,,1
A048,C005,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,4,2028-01-03,A041,2
