activity_id,access_seq,week,eclo,access_night
A001,1,6,0,1
A001,2,7,0,1
A001,3,8,0,1
A001,4,9,0,1
A002,1,3,0,1
A002,2,4,0,1
A003,1,3,0,1
A003,2,4,0,1
A004,1,18,1,1
A005,1,7,0,1
A005,2,8,0,1
A005,3,9,0,1
A006,1,7,0,1
A006,2,8,0,1
A006,3,9,0,1
A007,1,19,1,1
A007,2,22,0,1
A008,1,19,1,1
A008,2,22,0,1
A009,1,19,1,1
A009,2,22,0,1
A010,1,19,1,1
A010,2,22,0,1
A010,3,23,0,1
A011,1,15,0,1
A011,2,18,1,1
A011,3,19,1,1
A012,1,18,0,1
A012,2,19,1,1
A012,3,20,0,1
A013,1,2,0,1
A013,2,3,0,1
A013,3,4,0,1
A013,4,5,0,1
A013,5,6,0,1
A013,6,7,0,1
A014,1,28,0,1
A014,2,31,0,1
A015,1,18,0,1
A015,2,19,1,1
A015,3,21,0,1
A015,4,23,0,1
A016,1,18,0,1
A016,2,19,1,1
A016,3,21,0,1
A016,4,23,0,1
A017,1,18,0,2
A017,2,19,1,2
A017,3,21,0,2
A017,4,23,0,2
A018,1,14,0,1
A018,2,15,0,1
A018,3,16,0,1
A018,4,17,0,1
A018,5,18,1,1
A018,6,19,1,1
A019,1,14,0,1
A019,2,15,0,1
A019,3,16,0,1
A019,4,17,0,1
A019,5,18,0,1
A019,6,19,1,1
A020,1,17,0,1
A020,2,18,1,1
A020,3,19,1,1
A020,4,21,0,1
A020,5,22,0,1
A020,6,23,0,1
A021,1,17,0,1
A021,2,18,1,1
A021,3,19,1,1
A021,4,21,0,1
A021,5,22,0,1
A021,6,23,0,1
A022,1,24,0,1
A023,1,6,0,1
A024,1,6,0,1
A024,2,9,0,1
A024,3,10,0,1
A024,4,11,0,1
A024,5,12,0,1
A025,1,6,0,1
A025,2,9,0,1
A025,3,10,0,1
A025,4,11,0,1
A025,5,12,0,1
A026,1,10,0,1
A026,2,11,0,1
A026,3,12,0,1
A026,4,13,0,1
A026,5,14,0,1
A027,1,10,0,1
A027,2,11,0,1
A027,3,12,0,1
A027,4,13,0,1
A027,5,14,0,1
A028,1,10,0,1
A028,2,11,0,1
A028,3,12,0,1
A028,4,13,0,1
A028,5,14,0,2
A029,1,6,0,2
A030,1,6,0,1
A031,1,6,0,1
A032,1,24,0,1
A032,2,25,0,1
A032,3,26,0,1
A032,4,28,0,1
A033,1,13,0,1
A033,2,14,0,1
A033,3,15,0,1
A033,4,16,0,1
A033,5,17,0,1
A033,6,18,1,2
A034,1,2,0,2
A034,2,4,0,2
A034,3,5,0,2
A035,1,2,0,1
A035,2,4,0,1
A035,3,5,0,1
A036,1,2,0,1
A036,2,4,0,1
A036,3,5,0,1
A037,1,10,0,1
A037,2,11,0,1
A037,3,12,0,1
A037,4,13,0,2
A038,1,2,0,1
A039,1,2,0,3
A040,1,2,0,1
A041,1,26,0,1
A041,2,27,0,1
A041,3,28,0,2
A042,1,18,0,1
A042,2,19,1,2
A042,3,20,0,1
A043,1,18,0,2
A043,2,19,0,2
A043,3,20,0,1
A044,1,34,0,1
A044,2,35,0,1
A044,3,36,0,1
A045,1,34,0,1
A045,2,35,0,1
A045,3,36,0,1
A046,1,34,0,1
A046,2,35,0,1
A046,3,36,0,1
A047,1,3,0,2
A047,2,5,0,3
A048,1,29,0,1
A048,2,30,0,1
A048,3,31,0,1
A048,4,32,0,1
A049,1,29,0,1
A049,2,30,0,1
A049,3,31,0,1
A049,4,32,0,1
A050,1,3,0,2
A051,1,3,0,3
A052,1,17,0,1
A052,2,18,0,2
A052,3,19,1,2
A053,1,17,0,2
A053,2,18,0,2
A053,3,19,1,2
A054,1,8,0,1
A055,1,8,0,1
A056,1,9,0,2
A056,2,10,0,1
A056,3,11,0,1
A056,4,13,0,1
A056,5,15,0,1
A056,6,16,0,1
A057,1,9,0,1
A057,2,10,0,1
A057,3,11,0,1
A057,4,13,0,1
A057,5,15,0,1
A057,6,16,0,1
A058,1,16,0,1
A058,2,18,1,2
A058,3,20,0,1
A058,4,21,0,1
A058,5,23,0,1
A059,1,26,0,1
A059,2,27,0,1
A059,3,28,0,1
A059,4,30,0,1
A059,5,31,0,1
A059,6,32,0,1
A060,1,26,0,1
A060,2,27,0,1
A060,3,28,0,1
A060,4,30,0,1
A060,5,31,0,1
A060,6,32,0,1
