activity_id,week,location_id,co_share_group
A001,6,PLAT:ALP:H01:EB,g001
A001,6,PLAT:ALP:S04:EB,g001
A001,6,SEC:ALP:S04_H01:EB,g001
A001,7,PLAT:ALP:H01:EB,g001
A001,7,PLAT:ALP:S04:EB,g001
A001,7,SEC:ALP:S04_H01:EB,g001
A001,8,PLAT:ALP:H01:EB,g001
A001,8,PLAT:ALP:S04:EB,g001
A001,8,SEC:ALP:S04_H01:EB,g001
A001,9,PLAT:ALP:H01:EB,g001
A001,9,PLAT:ALP:S04:EB,g001
A001,9,SEC:ALP:S04_H01:EB,g001
A002,3,PLAT:ALP:S02:WB,g002
A002,3,PLAT:ALP:S03:WB,g002
A002,3,PLAT:ALP:S04:WB,g002
A002,3,SEC:ALP:S02_S03:WB,g002
A002,3,SEC:ALP:S03_S04:WB,g002
A003,3,PLAT:ALP:S01:WB,g002
A003,3,PLAT:ALP:S02:WB,g002
A003,3,PLAT:ALP:S03:WB,g002
A003,3,SEC:ALP:S01_S02:WB,g002
A003,3,SEC:ALP:S02_S03:WB,g002
A002,4,PLAT:ALP:S02:WB,g002
A002,4,PLAT:ALP:S03:WB,g002
A002,4,PLAT:ALP:S04:WB,g002
A002,4,SEC:ALP:S02_S03:WB,g002
A002,4,SEC:ALP:S03_S04:WB,g002
A003,4,PLAT:ALP:S01:WB,g002
A003,4,PLAT:ALP:S02:WB,g002
A003,4,PLAT:ALP:S03:WB,g002
A003,4,SEC:ALP:S01_S02:WB,g002
A003,4,SEC:ALP:S02_S03:WB,g002
A004,18,PLAT:ALP:S01:WB,g003
A004,18,PLAT:ALP:S02:WB,g003
A004,18,PLAT:ALP:S03:WB,g003
A004,18,PLAT:ALP:S04:WB,g003
A004,18,SEC:ALP:S01_S02:WB,g003
A004,18,SEC:ALP:S02_S03:WB,g003
A004,18,SEC:ALP:S03_S04:WB,g003
A005,7,PLAT:BET:S16:WB,g004
A005,7,PLAT:BET:S17:WB,g004
A005,7,PLAT:BET:S18:WB,g004
A005,7,SEC:BET:S16_S17:WB,g004
A005,7,SEC:BET:S17_S18:WB,g004
A006,7,PLAT:BET:S16:WB,g004
A006,7,PLAT:BET:S17:WB,g004
A006,7,PLAT:BET:S18:WB,g004
A006,7,SEC:BET:S16_S17:WB,g004
A006,7,SEC:BET:S17_S18:WB,g004
A005,8,PLAT:BET:S16:WB,g004
A005,8,PLAT:BET:S17:WB,g004
A005,8,PLAT:BET:S18:WB,g004
A005,8,SEC:BET:S16_S17:WB,g004
A005,8,SEC:BET:S17_S18:WB,g004
A006,8,PLAT:BET:S16:WB,g004
A006,8,PLAT:BET:S17:WB,g004
A006,8,PLAT:BET:S18:WB,g004
A006,8,SEC:BET:S16_S17:WB,g004
A006,8,SEC:BET:S17_S18:WB,g004
A005,9,PLAT:BET:S16:WB,g004
A005,9,PLAT:BET:S17:WB,g004
A005,9,PLAT:BET:S18:WB,g004
