activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
A001,C001,Renewal,SEC:BET:H02_S15:WB,SEC:BET:S16_S17:WB,2,2027-12-20,,2
A002,C002,Renewal,SEC:BET:S15_S16:EB,SEC:BET:S15_S16:EB,5,2027-12-27,,3
A003,C003,Renewal,SEC:ALP:S05_S06:EB,SEC:ALP:S07_S08:EB,3,2027-11-29,,2
A004,C004,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,4,2027-12-06,A003,2
A005,C005,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,4,2027-12-20,,1
A006,C006,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,4,2027-12-13,,2
A007,C007,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,4,2027-12-06,A003,3
A008,C008,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,5,2027-08-02,,2
A009,C002,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,5,2027-08-02,,1
A010,C006,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,5,2027-08-09,,3
A011,C009,Construction,SEC:ALP:S03_S04:EB,SEC:ALP:S03_S04:EB,1,2028-01-03,,1
A012,C004,Construction,SEC:ALP:S02_S03:EB,SEC:ALP:S03_S04:EB,1,2028-01-10,,2
A013,C008,Renewal,SEC:ALP:S02_S03:EB,SEC:ALP:S04_H01:EB,1,2028-01-03,,2
A014,C009,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,5,2027-07-26,,2
A015,C002,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,5,2027-08-16,,1
A016,C006,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,5,2027-08-09,,1
A017,C004,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,5,2027-08-16,,3
A018,C006,Renewal,SEC:ALP:S01_S02:WB,SEC:ALP:S02_S03:WB,5,2027-09-20,,1
A019,C005,Renewal,SEC:ALP:S07_S08:EB,SEC:ALP:S07_S08:EB,1,2027-07-19,,2
A020,C005,Renewal,SEC:BET:S12_S13:EB,SEC:BET:S12_S13:EB,2,2027-11-15,,1
A021,C009,Construction,SEC:BET:H02_S15:WB,SEC:BET:H02_S15:WB,2,2028-01-17,,3
A022,C004,Construction,SEC:BET:H01_H02:WB,SEC:BET:S15_S16:WB,2,2028-01-17,,3
A023,C004,Construction,SEC:BET:H01_H02:WB,SEC:BET:S15_S16:WB,2,2028-01-10,,3
A024,C003,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,3,2027-08-23,,1
A025,C010,Renewal,SEC:BET:S12_S13:EB,SEC:BET:S14_H01:EB,3,2027-11-29,,2
A026,C004,Construction,SEC:BET:S12_S13:EB,SEC:BET:S13_S14:EB,3,2027-11-22,,3
A027,C007,Renewal,SEC:BET:S13_S14:EB,SEC:BET:S13_S14:EB,3,2027-11-22,,3
A028,C007,Renewal,SEC:BET:S13_S14:EB,SEC:BET:S14_H01:EB,3,2027-11-22,,2
A029,C009,Construction,SEC:BET:S13_S14:EB,SEC:BET:S14_H01:EB,1,2028-01-24,,1
A030,C002,Renewal,SEC:BET:S13_S14:EB,SEC:BET:S13_S14:EB,1,2028-01-24,,3
A031,C002,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:S04_H01:WB,6,2027-09-20,A024,3
A032,C007,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,6,2027-10-04,A024,1
A033,C007,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,6,2027-10-04,,2
A034,C009,Construction,SEC:ALP:S06_S07:EB,SEC:ALP:S07_S08:EB,1,2027-11-15,,3
A035,C004,Construction,SEC:ALP:S07_S08:EB,SEC:ALP:S07_S08:EB,1,2027-11-15,,2
A036,C004,Construction,SEC:ALP:S06_S07:EB,SEC:ALP:S07_S08:EB,1,2027-12-06,A033,1
A037,C004,Construction,SEC:ALP:S07_S08:EB,SEC:ALP:S07_S08:EB,1,2027-11-22,,1
A038,C010,Renewal,SEC:BET:S13_S14:WB,SEC:BET:S14_H01:WB,2,2028-01-10,,3
A039,C004,Construction,SEC:BET:S13_S14:WB,SEC:BET:S14_H01:WB,2,2028-01-10,,3
A040,C003,Renewal,SEC:BET:S12_S13:WB,SEC:BET:S14_H01:WB,6,2027-07-19,,1
A041,C003,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,6,2027-10-11,A018,2
A042,C002,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,6,2027-10-11,A018,3
A043,C003,Renewal,SEC:BET:S16_S17:WB,SEC:BET:S16_S17:WB,1,2027-11-15,,2
A044,C008,Renewal,SEC:BET:S16_S17:WB,SEC:BET:S17_S18:WB,1,2027-12-06,A033,3
A045,C005,Renewal,SEC:BET:S15_S16:WB,SEC:BET:S16_S17:WB,1,2027-08-30,A019,3
A046,C004,Construction,SEC:BET:S15_S16:WB,SEC:BET:S16_S17:WB,1,2027-08-23,,1
A047,C005,Renewal,SEC:BET:S15_S16:WB,SEC:BET:S16_S17:WB,1,2027-08-30,,2
A048,C008,Renewal,SEC:BET:S15_S16:WB,SEC:BET:S16_S17:WB,1,2027-08-23,,3
A049,C003,Renewal,SEC:BET:S13_S14:EB,SEC:BET:H01_H02:EB,3,2027-09-20,,3
A050,C006,Renewal,SEC:BET:S14_H01:EB,SEC:BET:S14_H01:EB,3,2027-09-06,A040,2
A051,C004,Construction,SEC:BET:S14_H01:EB,SEC:BET:S14_H01:EB,3,2027-09-06,A040,1
A052,C006,Renewal,SEC:BET:S13_S14:EB,SEC:BET:S14_H01:EB,3,2027-09-20,,2
A053,C003,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:S03_S04:WB,4,2027-09-20,,1
A054,C009,Construction,SEC:ALP:S06_S07:WB,SEC:ALP:S07_S08:WB,5,2027-09-27,,2
A055,C004,Construction,SEC:ALP:S06_S07:WB,SEC:ALP:S06_S07:WB,5,2027-10-04,,1
A056,C004,Construction,SEC:ALP:S05_S06:WB,SEC:ALP:S07_S08:WB,5,2027-09-13,,2
A057,C002,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,1,2027-11-22,,3
A058,C004,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,1,2027-11-29,,3
A059,C004,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,1,2027-11-15,,3
A060,C009,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,5,2027-12-27,,1
A061,C005,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,5,2027-12-20,,2
A062,C009,Construction,SEC:ALP:S05_S06:WB,SEC:ALP:S06_S07:WB,4,2027-10-25,,1
A063,C006,Renewal,SEC:ALP:S05_S06:WB,SEC:ALP:S07_S08:WB,4,2027-11-08,,3
