activity_id,access_seq,week,eclo,access_night
A001,1,26,0,1
A001,2,27,0,1
A002,1,26,0,1
A002,2,27,0,1
A002,3,28,0,1
A002,4,29,0,1
A002,5,30,0,1
A003,1,20,0,1
A003,2,21,0,1
A003,3,22,0,1
A004,1,24,0,1
A004,2,26,0,1
A004,3,27,0,1
A004,4,28,0,1
A005,1,24,0,1
A005,2,26,0,1
A005,3,27,0,1
A005,4,28,0,1
A006,1,24,0,1
A006,2,26,0,1
A006,3,27,0,1
A006,4,28,0,1
A007,1,24,0,1
A007,2,26,0,1
A007,3,27,0,1
A007,4,28,0,1
A008,1,5,0,1
A008,2,7,0,1
A008,3,8,0,1
A008,4,9,0,1
A008,5,10,0,1
A009,1,5,0,1
A009,2,7,0,1
A009,3,8,0,1
A009,4,9,0,1
A009,5,10,0,1
A010,1,5,0,1
A010,2,7,0,1
A010,3,8,0,1
A010,4,9,0,1
A010,5,10,0,1
A011,1,28,0,1
A012,1,28,0,1
A013,1,28,0,1
A014,1,5,0,1
A014,2,6,0,1
A014,3,8,0,1
A014,4,9,0,1
A014,5,10,0,1
A015,1,5,0,2
A015,2,6,0,1
A015,3,8,0,2
A015,4,9,0,2
A015,5,10,0,2
A016,1,5,0,1
A016,2,6,0,1
A016,3,8,0,1
A016,4,9,0,1
A016,5,10,0,1
A017,1,5,0,1
A017,2,6,0,1
A017,3,8,0,1
A017,4,9,0,1
A017,5,10,0,1
A018,1,10,0,2
A018,2,11,0,1
A018,3,12,0,1
A018,4,13,0,1
A018,5,14,0,1
A019,1,4,0,1
A020,1,21,0,1
A020,2,22,0,1
A021,1,29,0,1
A021,2,30,0,1
A022,1,29,0,1
A022,2,30,0,1
A023,1,29,0,1
A023,2,30,0,1
A024,1,8,0,1
A024,2,9,0,1
A024,3,10,0,1
A025,1,20,0,1
A025,2,21,0,1
A025,3,22,0,1
A026,1,20,0,1
A026,2,21,0,1
A026,3,22,0,1
A027,1,20,0,1
A027,2,21,0,1
A027,3,22,0,1
A028,1,20,0,1
A028,2,21,0,1
A028,3,22,0,1
A029,1,29,0,1
A030,1,29,0,2
A031,1,13,0,1
A031,2,14,0,1
A031,3,15,1,1
A031,4,17,0,1
A031,5,18,0,1
A031,6,19,0,1
A032,1,13,0,1
A032,2,14,0,1
A032,3,15,1,1
A032,4,17,0,1
A032,5,18,0,1
A032,6,19,0,1
A033,1,13,0,1
A033,2,14,0,1
A033,3,15,1,1
A033,4,17,0,1
A033,5,18,0,1
A033,6,19,0,1
A034,1,21,0,1
A035,1,21,0,1
A036,1,21,0,2
A037,1,21,0,2
A038,1,29,0,1
A038,2,30,0,1
A039,1,29,0,2
A039,2,30,0,2
A040,1,3,0,1
A040,2,4,0,1
A040,3,6,0,1
A040,4,7,0,1
A040,5,8,0,2
A040,6,9,0,2
A041,1,15,1,1
A041,2,19,0,1
A041,3,20,0,2
A041,4,21,0,2
A041,5,22,0,2
A041,6,23,0,1
A042,1,15,1,2
A042,2,19,0,2
A042,3,20,0,1
A042,4,21,0,1
A042,5,22,0,1
A042,6,23,0,1
A043,1,21,0,3
A044,1,21,0,1
A045,1,7,0,1
A046,1,7,0,1
A047,1,7,0,2
A048,1,7,0,2
A049,1,10,0,2
A049,2,12,0,1
A049,3,13,0,1
A050,1,10,0,2
A050,2,12,0,1
A050,3,13,0,1
A051,1,10,0,1
A051,2,12,0,1
A051,3,13,0,1
A052,1,10,0,3
A052,2,12,0,2
A052,3,13,0,2
A053,1,12,0,2
A053,2,13,0,2
A053,3,14,0,1
A053,4,15,1,2
A054,1,12,0,1
A054,2,16,0,1
A054,3,17,0,1
A054,4,18,0,1
A054,5,19,0,1
A055,1,12,0,1
A055,2,16,0,1
A055,3,17,0,1
A055,4,18,0,1
A055,5,19,0,1
A056,1,12,0,2
A056,2,16,1,1
A056,3,17,0,1
A056,4,18,0,1
A056,5,19,0,1
A057,1,20,0,2
A058,1,20,0,1
A059,1,20,0,2
A060,1,25,0,1
A060,2,26,0,1
A060,3,27,0,1
A060,4,28,0,1
A060,5,29,0,2
A061,1,25,0,1
A061,2,26,0,2
A061,3,27,0,2
A061,4,28,0,2
A061,5,29,0,1
A062,1,18,0,1
A062,2,19,0,1
A062,3,21,0,1
A062,4,22,0,1
A063,1,18,0,1
A063,2,19,0,1
A063,3,21,0,1
A063,4,22,0,1
A064,1,18,0,2
A064,2,19,0,2
A064,3,21,0,2
A064,4,22,0,2
A065,1,18,0,2
A065,2,19,0,2
A065,3,21,0,2
A065,4,22,0,2
A066,1,25,0,1
A066,2,26,0,1
A067,1,14,0,1
A067,2,16,1,1
A067,3,17,0,1
A067,4,18,0,1
A068,1,14,0,1
A068,2,16,1,1
A068,3,17,0,1
A068,4,18,0,1
A069,1,14,0,2
A069,2,16,0,2
A069,3,17,0,2
A069,4,18,0,2
A070,1,20,0,1
A070,2,21,0,2
A070,3,22,0,1
A070,4,24,0,1
A070,5,25,0,1
A070,6,26,0,1
A071,1,25,0,2
A071,2,26,0,2
A071,3,28,0,2
A071,4,29,0,2
A072,1,25,0,2
A072,2,26,0,3
A072,3,28,0,3
A072,4,29,0,2
