activity_id,week,location_id,co_share_group
A001,26,PLAT:BET:H02:WB,g001
A001,26,PLAT:BET:S15:WB,g001
A001,26,PLAT:BET:S16:WB,g001
A001,26,PLAT:BET:S17:WB,g001
A001,26,SEC:BET:H02_S15:WB,g001
A001,26,SEC:BET:S15_S16:WB,g001
A001,26,SEC:BET:S16_S17:WB,g001
A001,27,PLAT:BET:H02:WB,g001
A001,27,PLAT:BET:S15:WB,g001
A001,27,PLAT:BET:S16:WB,g001
A001,27,PLAT:BET:S17:WB,g001
A001,27,SEC:BET:H02_S15:WB,g001
A001,27,SEC:BET:S15_S16:WB,g001
A001,27,SEC:BET:S16_S17:WB,g001
A002,26,PLAT:BET:S15:EB,g002
A002,26,PLAT:BET:S16:EB,g002
A002,26,SEC:BET:S15_S16:EB,g002
A002,27,PLAT:BET:S15:EB,g002
A002,27,PLAT:BET:S16:EB,g002
A002,27,SEC:BET:S15_S16:EB,g002
A002,28,PLAT:BET:S15:EB,g002
A002,28,PLAT:BET:S16:EB,g002
A002,28,SEC:BET:S15_S16:EB,g002
A002,29,PLAT:BET:S15:EB,g002
A002,29,PLAT:BET:S16:EB,g002
A002,29,SEC:BET:S15_S16:EB,g002
A002,30,PLAT:BET:S15:EB,g002
A002,30,PLAT:BET:S16:EB,g002
A002,30,SEC:BET:S15_S16:EB,g002
A003,20,PLAT:ALP:S05:EB,g003
A003,20,PLAT:ALP:S06:EB,g003
A003,20,PLAT:ALP:S07:EB,g003
A003,20,PLAT:ALP:S08:EB,g003
A003,20,SEC:ALP:S05_S06:EB,g003
A003,20,SEC:ALP:S06_S07:EB,g003
A003,20,SEC:ALP:S07_S08:EB,g003
A003,21,PLAT:ALP:S05:EB,g003
A003,21,PLAT:ALP:S06:EB,g003
A003,21,PLAT:ALP:S07:EB,g003
A003,21,PLAT:ALP:S08:EB,g003
A003,21,SEC:ALP:S05_S06:EB,g003
A003,21,SEC:ALP:S06_S07:EB,g003
A003,21,SEC:ALP:S07_S08:EB,g003
A003,22,PLAT:ALP:S05:EB,g003
A003,22,PLAT:ALP:S06:EB,g003
A003,22,PLAT:ALP:S07:EB,g003
A003,22,PLAT:ALP:S08:EB,g003
A003,22,SEC:ALP:S05_S06:EB,g003
A003,22,SEC:ALP:S06_S07:EB,g003
A003,22,SEC:ALP:S07_S08:EB,g003
A004,24,PLAT:ALP:H01:EB,g004
A004,24,PLAT:ALP:H02:EB,g004
A004,24,PLAT:ALP:S05:EB,g004
A004,24,SEC:ALP:H01_H02:EB,g004
A004,24,SEC:ALP:H02_S05:EB,g004
A005,24,PLAT:ALP:H01:EB,g004
A005,24,PLAT:ALP:H02:EB,g004
A005,24,PLAT:ALP:S05:EB,g004
A005,24,SEC:ALP:H01_H02:EB,g004
A005,24,SEC:ALP:H02_S05:EB,g004
A006,24,PLAT:ALP:H01:EB,g004
A006,24,PLAT:ALP:H02:EB,g004
A006,24,PLAT:ALP:S05:EB,g004
A006,24,SEC:ALP:H01_H02:EB,g004
A006,24,SEC:ALP:H02_S05:EB,g004
A007,24,PLAT:ALP:H01:EB,g004
A007,24,PLAT:ALP:H02:EB,g004
A007,24,PLAT:ALP:S05:EB,g004
A007,24,SEC:ALP:H01_H02:EB,g004
A007,24,SEC:ALP:H02_S05:EB,g004
A004,26,PLAT:ALP:H01:EB,g004
A004,26,PLAT:ALP:H02:EB,g004
A004,26,PLAT:ALP:S05:EB,g004
A004,26,SEC:ALP:H01_H02:EB,g004
A004,26,SEC:ALP:H02_S05:EB,g004
A005,26,PLAT:ALP:H01:EB,g004
A005,26,PLAT:ALP:H02:EB,g004
A005,26,PLAT:ALP:S05:EB,g004
A005,26,SEC:ALP:H01_H02:EB,g004
A005,26,SEC:ALP:H02_S05:EB,g004
A006,26,PLAT:ALP:H01:EB,g004
A006,26,PLAT:ALP:H02:EB,g004
A006,26,PLAT:ALP:S05:EB,g004
A006,26,SEC:ALP:H01_H02:EB,g004
A006,26,SEC:ALP:H02_S05:EB,g004
A007,26,PLAT:ALP:H01:EB,g004
A007,26,PLAT:ALP:H02:EB,g004
A007,26,PLAT:ALP:S05:EB,g004
A007,26,SEC:ALP:H01_H02:EB,g004
A007,26,SEC:ALP:H02_S05:EB,g004
A004,27,PLAT:ALP:H01:EB,g004
A004,27,PLAT:ALP:H02:EB,g004
A004,27,PLAT:ALP:S05:EB,g004
A004,27,SEC:ALP:H01_H02:EB,g004
A004,27,SEC:ALP:H02_S05:EB,g004
A005,27,PLAT:ALP:H01:EB,g004
A005,27,PLAT:ALP:H02:EB,g004
A005,27,PLAT:ALP:S05:EB,g004
A005,27,SEC:ALP:H01_H02:EB,g004
A005,27,SEC:ALP:H02_S05:EB,g004
A006,27,PLAT:ALP:H01:EB,g004
A006,27,PLAT:ALP:H02:EB,g004
A006,27,PLAT:ALP:S05:EB,g004
A006,27,SEC:ALP:H01_H02:EB,g004
A006,27,SEC:ALP:H02_S05:EB,g004
A007,27,PLAT:ALP:H01:EB,g004
A007,27,PLAT:ALP:H02:EB,g004
A007,27,PLAT:ALP:S05:EB,g004
A007,27,SEC:ALP:H01_H02:EB,g004
A007,27,SEC:ALP:H02_S05:EB,g004
A004,28,PLAT:ALP:H01:EB,g004
A004,28,PLAT:ALP:H02:EB,g004
A004,28,PLAT:ALP:S05:EB,g004
A004,28,SEC:ALP:H01_H02:EB,g004
A004,28,SEC:ALP:H02_S05:EB,g004
A005,28,PLAT:ALP:H01:EB,g004
A005,28,PLAT:ALP:H02:EB,g004
A005,28,PLAT:ALP:S05:EB,g004
A005,28,SEC:ALP:H01_H02:EB,g004
A005,28,SEC:ALP:H02_S05:EB,g004
A006,28,PLAT:ALP:H01:EB,g004
A006,28,PLAT:ALP:H02:EB,g004
A006,28,PLAT:ALP:S05:EB,g004
A006,28,SEC:ALP:H01_H02:EB,g004
A006,28,SEC:ALP:H02_S05:EB,g004
