activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
A001,C001,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,2,2027-09-27,,3
A002,C002,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,3,2027-10-04,,1
A003,C002,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,3,2027-09-06,,3
A004,C003,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,1,2027-09-06,,1
A005,C004,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,1,2027-09-06,A003,1
A006,C002,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,1,2027-09-13,A003,1
A007,C005,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,4,2027-09-20,,1
A008,C002,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,1,2027-09-27,A002,1
A009,C006,Construction,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,1,2027-10-04,A002,1
A010,C002,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,1,2027-09-27,A002,3
A011,C007,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,5,2027-09-20,,1
A012,C004,Construction,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,1,2027-11-15,,3
A013,C008,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,5,2027-08-30,,3
A014,C002,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,5,2027-08-23,,1
A015,C009,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,4,2027-08-16,,1
A016,C002,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,4,2027-08-16,,1
A017,C002,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,4,2027-08-16,,3
A018,C010,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,4,2027-08-16,,3
A019,C007,Construction,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,3,2027-08-30,,1
A020,C002,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,1,2027-10-04,,1
A021,C011,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,1,2027-10-04,,2
A022,C002,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H01_H02:WB,1,2027-09-27,,2
A023,C005,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,1,2027-09-13,,1
A024,C012,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-09-20,,3
A025,C013,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-10-04,,1
A026,C014,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,3,2027-09-20,,3
A027,C002,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,3,2027-09-13,,3
A028,C012,Construction,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,1,2027-08-30,,3
A029,C009,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,5,2027-09-20,,3
A030,C015,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,3,2027-10-25,,1
A031,C002,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,2,2027-09-27,,3
A032,C015,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,2,2027-08-30,,3
A033,C003,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,3,2027-10-25,,3
A034,C002,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-10-04,A029,3
A035,C012,Construction,SEC:BET:H01_H02:WB,SEC:BET:H01_H02:WB,3,2027-10-25,A029,1
A036,C008,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,4,2027-10-04,A023,1
A037,C010,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,4,2027-10-04,,2
A038,C010,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H02_S15:EB,4,2027-10-11,A023,2
A039,C002,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,4,2027-10-04,,3
A040,C015,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,2,2027-09-20,A018,3
A041,C001,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,4,2027-08-23,,1
A042,C007,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,4,2027-08-30,,2
A043,C002,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,4,2027-09-13,A019,1
A044,C010,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,4,2027-09-20,,1
A045,C004,Construction,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,4,2027-08-30,,2
A046,C002,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,5,2027-09-06,A032,3
A047,C005,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,1,2027-10-18,,3
A048,C002,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,1,2027-10-18,A045,1
A049,C009,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,2,2027-11-15,A039,1
A050,C002,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,2,2027-11-01,A039,2
A051,C006,Construction,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,2,2027-11-15,A039,2
A052,C010,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,5,2027-11-01,,1
A053,C002,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,5,2027-10-18,,3
A054,C005,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,1,2027-09-06,A028,3
A055,C004,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,3,2027-10-25,A031,2
A056,C013,Construction,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,3,2027-10-18,,3
A057,C005,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,1,2027-08-30,,1
A058,C012,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,1,2027-08-23,A054,1
A059,C006,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,1,2027-08-30,,2
A060,C015,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:H02_S05:WB,2,2027-10-18,A031,3
A061,C004,Construction,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,5,2027-10-11,,3
A062,C006,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,5,2027-10-18,A045,2
A063,C002,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,5,2027-10-11,A045,3
A064,C003,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,5,2027-09-13,,2
A065,C002,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,6,2027-09-13,,2
A066,C013,Construction,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,4,2027-08-16,,2
A067,C015,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H02_S05:EB,3,2027-08-16,,2
A068,C002,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,3,2027-09-06,,1
A069,C011,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,5,2027-10-18,,1
A070,C004,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,5,2027-11-01,A031,3
A071,C014,Construction,SEC:ALP:H01_H02:WB,SEC:ALP:H01_H02:WB,5,2027-10-25,A031,1
A072,C002,Renewal,SEC:ALP:H01_H02:WB,SEC:ALP:H02_S05:WB,5,2027-11-01,A031,3
