activity_id,access_seq,week,eclo,access_night
A001,1,8,0,1
A001,2,9,1,1
A002,1,8,1,1
A002,2,9,1,1
A003,1,4,0,1
A003,2,5,0,1
A003,3,6,0,1
A004,1,7,0,1
A005,1,7,0,1
A006,1,7,0,1
A007,1,8,1,1
A007,2,9,0,1
A007,3,10,0,1
A007,4,11,0,1
A008,1,10,0,1
A009,1,10,0,1
A010,1,10,0,1
A011,1,7,0,1
A011,2,9,1,1
A011,3,10,0,1
A011,4,12,0,1
A011,5,13,0,1
A012,1,15,0,1
A013,1,3,0,1
A013,2,4,0,1
A013,3,5,0,1
A013,4,6,0,1
A013,5,7,0,1
A014,1,3,0,1
A014,2,4,0,1
A014,3,5,0,1
A014,4,6,0,1
A014,5,7,0,1
A015,1,2,0,1
A015,2,3,0,1
A015,3,4,0,1
A015,4,7,0,1
A016,1,2,0,1
A016,2,3,0,1
A016,3,4,0,1
A016,4,7,0,1
A017,1,2,0,1
A017,2,3,0,1
A017,3,4,0,2
A017,4,7,0,2
A018,1,2,0,1
A018,2,3,0,1
A018,3,4,0,1
A018,4,7,0,1
A019,1,3,0,1
A019,2,4,0,1
A019,3,5,0,1
A020,1,8,1,1
A021,1,8,0,1
A022,1,8,1,1
A023,1,8,1,2
A024,1,8,0,1
A024,2,9,1,1
A024,3,11,0,1
A025,1,8,0,1
A025,2,9,0,1
A025,3,11,0,1
A026,1,8,0,1
A026,2,9,1,1
A026,3,11,0,1
A027,1,8,0,2
A027,2,9,0,1
A027,3,11,0,1
A028,1,3,0,1
A029,1,6,0,1
A029,2,7,0,2
A029,3,8,0,1
A029,4,9,1,1
A029,5,10,0,1
A030,1,14,0,1
A030,2,15,0,1
A030,3,16,0,1
A031,1,10,1,1
A031,2,11,0,1
A032,1,3,0,1
A032,2,4,0,1
A033,1,11,0,1
A033,2,12,0,1
A033,3,13,0,1
A034,1,11,0,1
A034,2,12,0,1
A034,3,13,0,1
A035,1,11,0,2
A035,2,12,0,1
A035,3,13,0,1
A036,1,9,0,1
A036,2,11,0,1
A036,3,12,0,1
A036,4,13,0,1
A037,1,9,1,1
A037,2,11,0,1
A037,3,12,0,1
A037,4,13,0,1
A038,1,9,1,1
A038,2,11,0,1
A038,3,12,0,1
A038,4,13,0,1
A039,1,9,1,1
A039,2,11,0,2
A039,3,12,0,1
A039,4,13,0,1
A040,1,8,0,1
A040,2,9,1,1
A041,1,5,0,1
A041,2,6,0,1
A041,3,8,0,2
A041,4,9,1,2
A042,1,6,0,1
A042,2,7,0,2
A042,3,8,0,1
A042,4,9,1,2
A043,1,6,0,1
A043,2,7,0,2
A043,3,8,0,2
A043,4,9,1,2
A044,1,6,0,1
A044,2,7,0,1
A044,3,8,0,1
A044,4,9,1,2
A045,1,6,0,1
A045,2,7,0,2
A045,3,8,0,1
A045,4,9,1,1
A046,1,5,0,1
A046,2,7,0,2
A046,3,8,0,2
A046,4,10,1,2
A046,5,12,0,1
A047,1,10,1,2
A048,1,10,0,2
A049,1,15,0,1
A049,2,16,0,1
A050,1,15,0,1
A050,2,16,0,1
A051,1,15,0,1
A051,2,16,0,1
A052,1,12,0,2
A052,2,13,0,2
A052,3,14,0,1
A052,4,15,0,1
A052,5,16,0,1
A053,1,12,0,2
A053,2,13,0,1
A053,3,14,0,1
A053,4,15,0,1
A053,5,16,0,1
A054,1,4,0,1
A055,1,12,0,1
A055,2,13,0,1
A055,3,14,0,1
A056,1,12,0,1
A056,2,13,0,1
A056,3,14,0,1
A057,1,5,0,1
A058,1,5,0,1
A059,1,5,0,1
A060,1,12,0,1
A060,2,13,0,1
A061,1,10,1,1
A061,2,11,0,1
A061,3,12,0,2
A061,4,13,0,2
A061,5,16,0,1
A062,1,10,1,2
A062,2,11,0,1
A062,3,12,0,1
A062,4,13,0,1
A062,5,16,0,2
A063,1,10,1,2
A063,2,11,0,2
A063,3,12,0,2
A063,4,13,0,2
A063,5,16,0,1
A064,1,6,0,1
A064,2,9,1,1
A064,3,10,0,1
A064,4,12,0,2
A064,5,13,0,2
A065,1,6,0,2
A065,2,9,1,2
A065,3,10,1,3
A065,4,12,0,2
A065,5,13,0,2
A066,1,2,0,1
A066,2,3,0,1
A066,3,4,0,1
A066,4,5,0,1
A067,1,1,0,1
A067,2,4,0,2
A067,3,5,0,1
A068,1,4,0,2
A068,2,6,0,2
A068,3,7,0,3
A069,1,12,0,1
A069,2,13,0,1
A069,3,14,0,1
A069,4,15,0,1
A069,5,16,0,1
A070,1,12,0,3
A070,2,13,0,3
A070,3,14,0,2
A070,4,15,0,2
A070,5,16,0,2
A071,1,12,0,1
A071,2,13,0,1
A071,3,14,0,1
A071,4,15,0,1
A071,5,16,0,1
A072,1,12,0,3
A072,2,13,0,2
A072,3,14,0,1
A072,4,15,0,1
A072,5,16,0,2
