activity_id,week,location_id,co_share_group
A001,8,PLAT:ALP:H01:WB,g001
A001,8,PLAT:ALP:H02:WB,g001
A001,8,PLAT:ALP:S05:WB,g001
A001,8,SEC:ALP:H01_H02:WB,g001
A001,8,SEC:ALP:H02_S05:WB,g001
A002,8,PLAT:ALP:H01:WB,g001
A002,8,PLAT:ALP:H02:WB,g001
A002,8,SEC:ALP:H01_H02:WB,g001
A001,9,PLAT:ALP:H01:WB,g001
A001,9,PLAT:ALP:H02:WB,g001
A001,9,PLAT:ALP:S05:WB,g001
A001,9,SEC:ALP:H01_H02:WB,g001
A001,9,SEC:ALP:H02_S05:WB,g001
A002,9,PLAT:ALP:H01:WB,g001
A002,9,PLAT:ALP:H02:WB,g001
A002,9,SEC:ALP:H01_H02:WB,g001
A003,4,PLAT:ALP:H01:WB,g002
A003,4,PLAT:ALP:H02:WB,g002
A003,4,PLAT:ALP:S04:WB,g002
A003,4,SEC:ALP:H01_H02:WB,g002
A003,4,SEC:ALP:S04_H01:WB,g002
A003,5,PLAT:ALP:H01:WB,g002
A003,5,PLAT:ALP:H02:WB,g002
A003,5,PLAT:ALP:S04:WB,g002
A003,5,SEC:ALP:H01_H02:WB,g002
A003,5,SEC:ALP:S04_H01:WB,g002
A003,6,PLAT:ALP:H01:WB,g002
A003,6,PLAT:ALP:H02:WB,g002
A003,6,PLAT:ALP:S04:WB,g002
A003,6,SEC:ALP:H01_H02:WB,g002
A003,6,SEC:ALP:S04_H01:WB,g002
A004,7,PLAT:BET:H01:WB,g003
A004,7,PLAT:BET:H02:WB,g003
A004,7,PLAT:BET:S14:WB,g003
A004,7,PLAT:BET:S15:WB,g003
A004,7,SEC:BET:H01_H02:WB,g003
A004,7,SEC:BET:H02_S15:WB,g003
A004,7,SEC:BET:S14_H01:WB,g003
A005,7,PLAT:BET:H01:WB,g003
A005,7,PLAT:BET:H02:WB,g003
A005,7,PLAT:BET:S15:WB,g003
A005,7,SEC:BET:H01_H02:WB,g003
A005,7,SEC:BET:H02_S15:WB,g003
A006,7,PLAT:BET:H01:WB,g003
A006,7,PLAT:BET:H02:WB,g003
A006,7,PLAT:BET:S15:WB,g003
A006,7,SEC:BET:H01_H02:WB,g003
A006,7,SEC:BET:H02_S15:WB,g003
A007,8,PLAT:ALP:H01:WB,g004
A007,8,PLAT:ALP:H02:WB,g004
A007,8,PLAT:ALP:S05:WB,g004
A007,8,SEC:ALP:H01_H02:WB,g004
A007,8,SEC:ALP:H02_S05:WB,g004
A007,9,PLAT:ALP:H01:WB,g004
A007,9,PLAT:ALP:H02:WB,g004
A007,9,PLAT:ALP:S05:WB,g004
A007,9,SEC:ALP:H01_H02:WB,g004
A007,9,SEC:ALP:H02_S05:WB,g004
A007,10,PLAT:ALP:H01:WB,g004
A007,10,PLAT:ALP:H02:WB,g004
A007,10,PLAT:ALP:S05:WB,g004
A007,10,SEC:ALP:H01_H02:WB,g004
A007,10,SEC:ALP:H02_S05:WB,g004
