activity_id,contract_number,activity_type,start_location_id,end_location_id,total_accesses,planned_start_date,predecessor_activity_id,activity_priority
A001,C001,Construction,SEC:ALP:S06_S07:WB,SEC:ALP:S07_S08:WB,6,2027-12-20,,1
A002,C002,Construction,SEC:ALP:S06_S07:WB,SEC:ALP:S07_S08:WB,6,2027-12-06,,3
A003,C002,Construction,SEC:ALP:S05_S06:WB,SEC:ALP:S07_S08:WB,5,2027-12-06,,1
A004,C003,Renewal,SEC:ALP:S01_S02:WB,SEC:ALP:S04_H01:WB,1,2027-10-25,,2
A005,C004,Renewal,SEC:ALP:S02_S03:EB,SEC:ALP:S04_H01:EB,4,2027-09-20,,2
A006,C005,Renewal,SEC:ALP:S06_S07:EB,SEC:ALP:S06_S07:EB,3,2028-03-13,A003,3
A007,C006,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,6,2028-04-03,,2
A008,C007,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,5,2028-02-21,,1
A009,C002,Construction,SEC:BET:S14_H01:WB,SEC:BET:H01_H02:WB,5,2028-02-07,,2
A010,C008,Renewal,SEC:BET:S13_S14:WB,SEC:BET:S15_S16:WB,5,2028-02-07,A003,3
A011,C005,Renewal,SEC:ALP:S02_S03:EB,SEC:ALP:S03_S04:EB,5,2027-09-13,,1
A012,C009,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:S04_H01:EB,5,2027-09-13,,2
A013,C010,Renewal,SEC:ALP:H02_S05:EB,SEC:ALP:S06_S07:EB,4,2028-01-17,,3
A014,C011,Construction,SEC:ALP:H02_S05:EB,SEC:ALP:S07_S08:EB,3,2028-01-24,A004,2
A015,C005,Renewal,SEC:ALP:H02_S05:EB,SEC:ALP:S07_S08:EB,4,2028-01-17,,1
A016,C008,Renewal,SEC:BET:S14_H01:WB,SEC:BET:H02_S15:WB,3,2027-12-13,,2
A017,C012,Construction,SEC:BET:S14_H01:WB,SEC:BET:S14_H01:WB,3,2027-12-06,A004,2
A018,C005,Renewal,SEC:BET:S14_H01:WB,SEC:BET:S14_H01:WB,3,2027-12-13,A004,3
A019,C013,Construction,SEC:BET:S12_S13:WB,SEC:BET:H01_H02:WB,3,2027-12-20,A004,3
A020,C014,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S03_S04:EB,5,2027-09-20,,3
A021,C009,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,5,2027-09-27,,2
A022,C011,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S01_S02:EB,5,2027-10-04,,1
A023,C009,Renewal,SEC:BET:S15_S16:WB,SEC:BET:S17_S18:WB,2,2027-11-29,,3
A024,C015,Renewal,SEC:BET:S15_S16:WB,SEC:BET:S17_S18:WB,2,2027-11-15,,2
A025,C016,Renewal,SEC:BET:S15_S16:WB,SEC:BET:S17_S18:WB,2,2027-11-29,,2
A026,C017,Renewal,SEC:BET:S15_S16:EB,SEC:BET:S17_S18:EB,6,2027-11-29,A022,2
A027,C016,Renewal,SEC:BET:H02_S15:EB,SEC:BET:S17_S18:EB,6,2027-11-15,A022,2
A028,C016,Renewal,SEC:BET:H02_S15:EB,SEC:BET:S16_S17:EB,6,2027-11-29,A022,2
A029,C018,Construction,SEC:BET:S15_S16:EB,SEC:BET:S17_S18:EB,4,2028-03-27,A015,2
A030,C009,Renewal,SEC:BET:H02_S15:EB,SEC:BET:S16_S17:EB,4,2028-03-20,A015,3
A031,C019,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,5,2028-01-31,A028,3
A032,C020,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S03_S04:EB,5,2028-01-31,,2
A033,C021,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S03_S04:EB,5,2028-01-24,,2
A034,C021,Renewal,SEC:ALP:S03_S04:WB,SEC:ALP:H01_H02:WB,4,2028-02-21,A033,3
A035,C015,Renewal,SEC:ALP:S04_H01:WB,SEC:ALP:S04_H01:WB,4,2028-03-06,,1
A036,C022,Construction,SEC:ALP:S02_S03:WB,SEC:ALP:H02_S05:WB,4,2028-03-13,,2
A037,C013,Construction,SEC:BET:S15_S16:EB,SEC:BET:S17_S18:EB,2,2027-12-27,,2
A038,C021,Renewal,SEC:BET:S15_S16:EB,SEC:BET:S17_S18:EB,2,2028-01-10,A025,2
A039,C005,Renewal,SEC:BET:S15_S16:EB,SEC:BET:S17_S18:EB,2,2028-01-03,A025,2
A040,C019,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:S04_H01:WB,3,2027-10-04,,1
A041,C002,Construction,SEC:ALP:S02_S03:WB,SEC:ALP:H01_H02:WB,3,2027-09-13,,1
A042,C001,Construction,SEC:ALP:S03_S04:EB,SEC:ALP:S04_H01:EB,5,2028-01-24,,3
A043,C007,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S14_H01:WB,4,2027-09-13,,3
A044,C020,Renewal,SEC:BET:S12_S13:WB,SEC:BET:S14_H01:WB,4,2027-09-20,,2
A045,C006,Renewal,SEC:ALP:S01_S02:WB,SEC:ALP:S02_S03:WB,5,2028-04-10,,2
A046,C008,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:S04_H01:WB,5,2028-03-20,,2
A047,C009,Renewal,SEC:ALP:S01_S02:WB,SEC:ALP:S03_S04:WB,5,2028-04-03,A010,2
A048,C020,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:S04_H01:WB,5,2028-04-03,A010,3
A049,C022,Construction,SEC:ALP:S01_S02:EB,SEC:ALP:S03_S04:EB,5,2027-12-27,,2
A050,C008,Renewal,SEC:ALP:S02_S03:EB,SEC:ALP:S03_S04:EB,5,2027-12-06,A025,1
A051,C021,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:H01_H02:EB,5,2027-12-13,A025,2
A052,C016,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:H02_S05:EB,7,2027-12-27,,3
A053,C020,Renewal,SEC:ALP:S04_H01:EB,SEC:ALP:H01_H02:EB,6,2027-12-27,,1
A054,C002,Construction,SEC:BET:S15_S16:WB,SEC:BET:S17_S18:WB,5,2027-10-25,,1
A055,C003,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:H01_H02:WB,6,2027-12-20,,2
A056,C022,Construction,SEC:ALP:S01_S02:WB,SEC:ALP:S04_H01:WB,7,2027-12-27,A025,3
A057,C015,Renewal,SEC:ALP:S02_S03:WB,SEC:ALP:S04_H01:WB,7,2027-12-27,,2
A058,C022,Construction,SEC:BET:S11_S12:WB,SEC:BET:S13_S14:WB,1,2028-05-08,A048,1
A059,C013,Construction,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,1,2028-01-10,,3
A060,C016,Renewal,SEC:BET:S16_S17:EB,SEC:BET:S17_S18:EB,5,2028-03-27,A033,1
A061,C002,Construction,SEC:BET:S17_S18:EB,SEC:BET:S17_S18:EB,5,2028-03-06,A033,2
A062,C004,Renewal,SEC:BET:S16_S17:EB,SEC:BET:S16_S17:EB,5,2027-09-13,,3
A063,C011,Construction,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,5,2028-04-24,A061,3
A064,C003,Renewal,SEC:BET:S11_S12:EB,SEC:BET:S12_S13:EB,1,2028-04-10,A010,3
A065,C010,Renewal,SEC:BET:S14_H01:EB,SEC:BET:S15_S16:EB,1,2027-09-27,,2
A066,C015,Renewal,SEC:BET:H01_H02:EB,SEC:BET:S15_S16:EB,1,2027-10-11,,1
A067,C012,Construction,SEC:BET:S13_S14:EB,SEC:BET:H01_H02:EB,1,2027-10-11,,1
A068,C005,Renewal,SEC:BET:S14_H01:WB,SEC:BET:S16_S17:WB,6,2027-11-29,A022,1
A069,C012,Construction,SEC:BET:S15_S16:EB,SEC:BET:S17_S18:EB,6,2027-11-01,,1
A070,C012,Construction,SEC:BET:S15_S16:EB,SEC:BET:S17_S18:EB,6,2027-11-01,,3
A071,C015,Renewal,SEC:BET:S17_S18:EB,SEC:BET:S17_S18:EB,6,2027-11-15,,3
A072,C008,Renewal,SEC:BET:S16_S17:EB,SEC:BET:S17_S18:EB,6,2027-11-15,,1
A073,C013,Construction,SEC:BET:S12_S13:WB,SEC:BET:S14_H01:WB,4,2028-05-01,,2
A074,C020,Renewal,SEC:BET:S12_S13:WB,SEC:BET:S13_S14:WB,4,2028-05-15,A061,3
A075,C003,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H02_S05:EB,3,2028-01-17,A059,2
A076,C019,Renewal,SEC:ALP:H02_S05:EB,SEC:ALP:S07_S08:EB,5,2028-04-17,A064,1
A077,C016,Renewal,SEC:ALP:H02_S05:EB,SEC:ALP:S07_S08:EB,5,2028-04-24,,1
A078,C015,Renewal,SEC:ALP:H02_S05:EB,SEC:ALP:S07_S08:EB,5,2028-04-03,A064,1
A079,C020,Renewal,SEC:ALP:S06_S07:EB,SEC:ALP:S07_S08:EB,5,2028-04-24,A064,1
A080,C020,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S11_S12:WB,2,2027-12-27,,2
A081,C013,Construction,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,2,2028-01-10,,2
A082,C008,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S13_S14:WB,2,2027-12-20,A072,1
A083,C022,Construction,SEC:BET:S11_S12:WB,SEC:BET:S12_S13:WB,2,2028-01-10,,2
A084,C009,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S03_S04:EB,2,2027-12-06,A025,1
A085,C003,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:S04_H01:EB,4,2027-10-18,,2
A086,C002,Construction,SEC:ALP:S03_S04:EB,SEC:ALP:S03_S04:EB,4,2027-10-18,,2
A087,C015,Renewal,SEC:ALP:H02_S05:EB,SEC:ALP:S05_S06:EB,2,2027-11-15,A022,1
A088,C021,Renewal,SEC:ALP:H02_S05:WB,SEC:ALP:S06_S07:WB,4,2027-12-20,A072,1
A089,C006,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S13_S14:WB,1,2027-12-27,,1
A090,C008,Renewal,SEC:BET:S12_S13:WB,SEC:BET:S12_S13:WB,1,2027-12-27,A086,1
A091,C015,Renewal,SEC:BET:S11_S12:WB,SEC:BET:S14_H01:WB,1,2027-12-27,A086,2
A092,C021,Renewal,SEC:BET:S15_S16:WB,SEC:BET:S16_S17:WB,1,2028-05-15,,1
A093,C003,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H01_H02:EB,1,2028-01-17,A088,2
A094,C009,Renewal,SEC:BET:H01_H02:EB,SEC:BET:H01_H02:EB,1,2028-01-17,,3
A095,C005,Renewal,SEC:BET:S14_H01:EB,SEC:BET:H02_S15:EB,1,2028-01-10,A088,2
A096,C004,Renewal,SEC:ALP:S01_S02:EB,SEC:ALP:S02_S03:EB,2,2028-05-22,A079,3
A097,C003,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,2,2027-11-29,,3
A098,C002,Construction,SEC:BET:S14_H01:WB,SEC:BET:S15_S16:WB,2,2027-12-06,A087,1
A099,C021,Renewal,SEC:BET:H01_H02:WB,SEC:BET:H02_S15:WB,2,2027-11-15,,3
A100,C005,Renewal,SEC:BET:H01_H02:WB,SEC:BET:S15_S16:WB,2,2027-11-29,,3
A101,C006,Renewal,SEC:BET:S15_S16:WB,SEC:BET:S17_S18:WB,6,2027-11-22,A054,1
A102,C016,Renewal,SEC:BET:H01_H02:WB,SEC:BET:S15_S16:WB,6,2027-12-06,A054,3
A103,C005,Renewal,SEC:BET:H02_S15:WB,SEC:BET:S17_S18:WB,6,2027-11-29,A054,1
A104,C004,Renewal,SEC:BET:H02_S15:EB,SEC:BET:S17_S18:EB,3,2027-10-11,,1
A105,C004,Renewal,SEC:ALP:H01_H02:EB,SEC:ALP:H01_H02:EB,3,2028-02-07,A103,1
A106,C003,Renewal,SEC:ALP:S02_S03:EB,SEC:ALP:S04_H01:EB,6,2028-02-14,,2
A107,C008,Renewal,SEC:ALP:S02_S03:EB,SEC:ALP:S04_H01:EB,6,2028-02-21,A105,1
A108,C005,Renewal,SEC:ALP:S03_S04:EB,SEC:ALP:H01_H02:EB,6,2028-02-28,,2
