scenario,contract_number,simulated_completion_date,overrun_days
C,C001,2028-04-02,0
C,C002,2028-05-07,17
C,C003,2028-04-23,12
C,C004,2028-06-18,0
C,C005,2028-04-23,19
C,C006,2028-06-11,21
C,C007,2028-04-09,11
C,C008,2028-05-21,8
C,C009,2028-05-21,0
C,C010,2028-02-13,15
C,C011,2028-06-11,8
C,C012,2028-01-23,19
C,C013,2028-06-11,9
C,C014,2027-11-21,5
C,C015,2028-06-04,19
C,C016,2028-06-04,19
C,C017,2028-01-30,10
C,C018,2028-04-30,11
C,C019,2028-06-04,19
C,C020,2028-06-11,9
C,C021,2028-05-28,11
C,C022,2028-06-04,17
