activity_id,access_seq,week,eclo,access_night
A001,1,16,0,1
A001,2,17,0,1
A001,3,18,0,1
A001,4,20,1,1
A001,5,21,1,1
A002,1,16,0,1
A002,2,17,0,1
A002,3,18,0,1
A002,4,20,1,1
A002,5,21,1,1
A003,1,16,0,2
A003,2,17,0,2
A003,3,18,0,2
A003,4,20,1,2
A003,5,21,0,2
A004,1,10,0,1
A005,1,3,0,1
A005,2,4,0,1
A005,3,5,0,1
A005,4,6,0,1
A006,1,30,0,1
A006,2,31,0,1
A006,3,32,0,1
A007,1,33,0,1
A007,2,35,0,1
A007,3,36,0,1
A007,4,37,0,1
A007,5,38,0,1
A007,6,39,0,1
A008,1,24,0,1
A008,2,25,0,1
A008,3,26,0,1
A008,4,27,0,1
A008,5,30,0,1
A009,1,24,0,1
A009,2,25,0,1
A009,3,26,0,1
A009,4,27,0,1
A009,5,30,0,1
A010,1,24,0,1
A010,2,25,0,1
A010,3,26,0,1
A010,4,27,0,1
A010,5,30,0,1
A011,1,2,0,1
A011,2,3,0,1
A011,3,5,0,1
A011,4,6,0,1
A011,5,7,0,1
A012,1,2,0,1
A012,2,3,0,1
A012,3,5,0,1
A012,4,6,0,1
A012,5,7,0,1
A013,1,20,1,1
A013,2,21,1,1
A013,3,22,0,1
A014,1,20,0,1
A014,2,21,1,1
A014,3,22,0,1
A015,1,20,1,1
A015,2,21,1,1
A015,3,22,0,1
A016,1,16,0,1
A016,2,18,0,1
A016,3,19,0,1
A017,1,16,0,1
A017,2,18,0,1
A017,3,19,0,1
A018,1,16,0,1
A018,2,18,0,1
A018,3,19,0,1
A019,1,16,0,1
A019,2,18,0,1
A019,3,19,0,1
A020,1,4,0,1
A020,2,5,0,1
A020,3,7,0,1
A020,4,8,0,1
A020,5,10,0,1
A021,1,4,0,1
A021,2,5,0,2
A021,3,7,0,2
A021,4,8,0,1
A021,5,10,0,1
A022,1,4,0,1
A022,2,5,0,1
A022,3,7,0,1
A022,4,8,0,1
A022,5,10,0,1
A023,1,13,0,1
A023,2,14,0,1
A024,1,13,0,1
A024,2,14,0,1
A025,1,13,0,1
A025,2,14,0,1
A026,1,13,0,1
A026,2,14,0,1
A026,3,15,0,1
A026,4,17,0,1
A026,5,19,0,1
A026,6,20,0,1
A027,1,13,0,1
A027,2,14,0,1
A027,3,15,0,1
A027,4,17,0,1
A027,5,19,0,1
A027,6,20,0,1
A028,1,13,0,2
A028,2,14,0,2
A028,3,15,0,1
A028,4,17,0,1
A028,5,19,0,1
A028,6,20,0,1
A029,1,30,0,1
A029,2,31,0,1
A029,3,32,0,1
A029,4,33,0,1
A030,1,30,0,1
A030,2,31,0,1
A030,3,32,0,1
A030,4,33,0,1
A031,1,21,1,1
A031,2,22,0,1
A031,3,23,0,1
A031,4,25,0,1
A031,5,26,0,1
A032,1,21,1,1
A032,2,22,0,1
A032,3,23,0,1
A032,4,25,0,1
A032,5,26,0,1
A033,1,21,1,1
A033,2,22,0,1
A033,3,23,0,1
A033,4,25,0,1
A033,5,26,0,1
A034,1,27,0,1
A034,2,30,0,1
A034,3,31,0,1
A034,4,32,0,1
A035,1,27,0,1
A035,2,30,0,1
A035,3,31,0,1
A035,4,32,0,1
A036,1,27,0,1
A036,2,30,0,1
A036,3,31,0,1
A036,4,32,0,1
A037,1,19,0,2
A037,2,20,0,1
A038,1,19,0,1
A038,2,20,0,1
A039,1,19,0,1
A039,2,20,0,1
A040,1,4,0,1
A040,2,5,0,1
A040,3,6,0,1
A041,1,4,0,1
A041,2,5,0,1
A041,3,6,0,1
A042,1,23,0,1
A042,2,24,0,1
A042,3,26,0,1
A042,4,28,0,1
A042,5,29,0,1
A043,1,2,0,1
A043,2,4,0,1
A043,3,5,0,1
A043,4,6,0,1
A044,1,2,0,1
A044,2,4,0,1
A044,3,5,0,1
A044,4,6,0,1
A045,1,31,0,1
A045,2,33,0,2
A045,3,34,0,1
A045,4,35,0,2
A045,5,36,0,2
A046,1,31,0,1
A046,2,33,0,1
A046,3,34,0,1
A046,4,35,0,1
A046,5,36,0,1
A047,1,31,0,2
A047,2,33,0,2
A047,3,34,0,1
A047,4,35,0,1
A047,5,36,0,1
A048,1,31,0,1
A048,2,33,0,1
A048,3,34,0,1
A048,4,35,0,1
A048,5,36,0,1
A049,1,16,0,1
A049,2,17,0,1
A049,3,18,0,1
A049,4,19,0,1
A049,5,20,1,1
A050,1,16,0,1
A050,2,17,0,1
A050,3,18,0,1
A050,4,19,0,1
A050,5,20,1,1
A051,1,16,0,1
A051,2,17,0,1
A051,3,18,0,1
A051,4,19,0,2
A051,5,20,1,2
A052,1,18,0,1
A052,2,19,0,2
A052,3,20,1,2
A052,4,21,1,1
A052,5,22,0,1
A052,6,23,0,1
A053,1,18,0,1
A053,2,19,0,1
A053,3,20,0,1
A053,4,21,1,2
A053,5,22,0,2
A053,6,23,0,2
A054,1,7,0,1
A054,2,9,0,1
A054,3,11,0,1
A054,4,12,0,1
A054,5,13,0,1
A055,1,16,0,1
A055,2,19,0,1
A055,3,20,0,1
A055,4,21,0,1
A055,5,23,0,1
A055,6,24,0,1
A056,1,16,0,2
A056,2,19,0,2
A056,3,20,1,2
A056,4,21,1,1
A056,5,23,0,1
A056,6,24,0,1
A057,1,16,0,1
A057,2,19,0,1
A057,3,20,1,1
A057,4,21,1,1
A057,5,23,0,1
A057,6,24,0,1
A058,1,38,0,1
A059,1,20,0,2
A060,1,29,0,1
A060,2,30,0,1
A060,3,32,0,1
A060,4,33,0,1
A060,5,34,0,1
A061,1,29,0,1
A061,2,30,0,2
A061,3,32,0,1
A061,4,33,0,1
A061,5,34,0,1
A062,1,3,0,1
A062,2,4,0,1
A062,3,5,0,1
A062,4,6,0,1
A062,5,7,0,1
A063,1,35,0,1
A063,2,36,0,1
A063,3,37,0,1
A063,4,38,0,1
A063,5,39,0,1
A064,1,32,0,1
A065,1,5,0,1
A066,1,5,0,1
A067,1,5,0,1
A068,1,12,0,1
A068,2,13,0,1
A068,3,14,0,1
A068,4,15,0,1
A068,5,16,0,1
A068,6,18,0,1
A069,1,10,0,1
A069,2,11,0,1
A069,3,12,0,1
A069,4,13,0,1
A069,5,14,0,1
A069,6,16,0,2
A070,1,10,0,2
A070,2,11,0,2
A070,3,12,0,2
A070,4,13,0,2
A070,5,14,0,2
A070,6,16,0,3
A071,1,10,0,1
A071,2,11,0,1
A071,3,12,0,1
A071,4,13,0,2
A071,5,14,0,2
A071,6,16,0,2
A072,1,10,0,1
A072,2,11,0,1
A072,3,12,0,1
A072,4,13,0,1
A072,5,14,0,1
