activity_id,week,location_id,co_share_group
A001,16,PLAT:ALP:S06:WB,g001
A001,16,PLAT:ALP:S07:WB,g001
A001,16,PLAT:ALP:S08:WB,g001
A001,16,SEC:ALP:S06_S07:WB,g001
A001,16,SEC:ALP:S07_S08:WB,g001
A002,16,PLAT:ALP:S06:WB,g001
A002,16,PLAT:ALP:S07:WB,g001
A002,16,PLAT:ALP:S08:WB,g001
A002,16,SEC:ALP:S06_S07:WB,g001
A002,16,SEC:ALP:S07_S08:WB,g001
A003,16,PLAT:ALP:S05:WB,g001
A003,16,PLAT:ALP:S06:WB,g001
A003,16,PLAT:ALP:S07:WB,g001
A003,16,PLAT:ALP:S08:WB,g001
A003,16,SEC:ALP:S05_S06:WB,g001
A003,16,SEC:ALP:S06_S07:WB,g001
A003,16,SEC:ALP:S07_S08:WB,g001
A001,17,PLAT:ALP:S06:WB,g001
A001,17,PLAT:ALP:S07:WB,g001
A001,17,PLAT:ALP:S08:WB,g001
A001,17,SEC:ALP:S06_S07:WB,g001
A001,17,SEC:ALP:S07_S08:WB,g001
A002,17,PLAT:ALP:S06:WB,g001
A002,17,PLAT:ALP:S07:WB,g001
A002,17,PLAT:ALP:S08:WB,g001
A002,17,SEC:ALP:S06_S07:WB,g001
A002,17,SEC:ALP:S07_S08:WB,g001
A003,17,PLAT:ALP:S05:WB,g001
A003,17,PLAT:ALP:S06:WB,g001
A003,17,PLAT:ALP:S07:WB,g001
A003,17,PLAT:ALP:S08:WB,g001
A003,17,SEC:ALP:S05_S06:WB,g001
A003,17,SEC:ALP:S06_S07:WB,g001
A003,17,SEC:ALP:S07_S08:WB,g001
A001,18,PLAT:ALP:S06:WB,g001
A001,18,PLAT:ALP:S07:WB,g001
A001,18,PLAT:ALP:S08:WB,g001
A001,18,SEC:ALP:S06_S07:WB,g001
A001,18,SEC:ALP:S07_S08:WB,g001
A002,18,PLAT:ALP:S06:WB,g001
A002,18,PLAT:ALP:S07:WB,g001
A002,18,PLAT:ALP:S08:WB,g001
A002,18,SEC:ALP:S06_S07:WB,g001
A002,18,SEC:ALP:S07_S08:WB,g001
A003,18,PLAT:ALP:S05:WB,g001
A003,18,PLAT:ALP:S06:WB,g001
A003,18,PLAT:ALP:S07:WB,g001
A003,18,PLAT:ALP:S08:WB,g001
A003,18,SEC:ALP:S05_S06:WB,g001
A003,18,SEC:ALP:S06_S07:WB,g001
A003,18,SEC:ALP:S07_S08:WB,g001
A001,20,PLAT:ALP:S06:WB,g001
A001,20,PLAT:ALP:S07:WB,g001
A001,20,PLAT:ALP:S08:WB,g001
A001,20,SEC:ALP:S06_S07:WB,g001
A001,20,SEC:ALP:S07_S08:WB,g001
A002,20,PLAT:ALP:S06:WB,g001
A002,20,PLAT:ALP:S07:WB,g001
A002,20,PLAT:ALP:S08:WB,g001
A002,20,SEC:ALP:S06_S07:WB,g001
A002,20,SEC:ALP:S07_S08:WB,g001
A003,20,PLAT:ALP:S05:WB,g001
A003,20,PLAT:ALP:S06:WB,g001
A003,20,PLAT:ALP:S07:WB,g001
A003,20,PLAT:ALP:S08:WB,g001
A003,20,SEC:ALP:S05_S06:WB,g001
A003,20,SEC:ALP:S06_S07:WB,g001
A003,20,SEC:ALP:S07_S08:WB,g001
A001,21,PLAT:ALP:S06:WB,g001
A001,21,PLAT:ALP:S07:WB,g001
A001,21,PLAT:ALP:S08:WB,g001
A001,21,SEC:ALP:S06_S07:WB,g001
A001,21,SEC:ALP:S07_S08:WB,g001
A002,21,PLAT:ALP:S06:WB,g001
A002,21,PLAT:ALP:S07:WB,g001
A002,21,PLAT:ALP:S08:WB,g001
A002,21,SEC:ALP:S06_S07:WB,g001
A002,21,SEC:ALP:S07_S08:WB,g001
A003,21,PLAT:ALP:S05:WB,g001
A003,21,PLAT:ALP:S06:WB,g001
A003,21,PLAT:ALP:S07:WB,g001
A003,21,PLAT:ALP:S08:WB,g001
A003,21,SEC:ALP:S05_S06:WB,g001
A003,21,SEC:ALP:S06_S07:WB,g001
A003,21,SEC:ALP:S07_S08:WB,g001
A004,10,PLAT:ALP:H01:WB,g002
A004,10,PLAT:ALP:S01:WB,g002
A004,10,PLAT:ALP:S02:WB,g002
A004,10,PLAT:ALP:S03:WB,g002
A004,10,PLAT:ALP:S04:WB,g002
A004,10,SEC:ALP:S01_S02:WB,g002
